product_family,variant_id,variant_id Shopify,color,size,print_type,product_uid
sweatshirt,e2fece28-47ae-4db3-a3b0-5488ef0d51bc,52880883155284,Red, L,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_l_gco_red_gpr_chstlg-emb_gildan_18000
sweatshirt,ef0dec11-69b5-4b69-90d8-33d387369450,52880883188052,Red, XL,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_xl_gco_red_gpr_chstlg-emb_gildan_18000
sweatshirt,8a99f318-feb4-44f0-bf00-1a72d46e25ff,52880883220820,Red, 2XL,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_2xl_gco_red_gpr_chstlg-emb_gildan_18000
sweatshirt,6382f10d-456c-4bae-8931-c82178ba77a3,52880883253588,Red, 3XL,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_3xl_gco_red_gpr_chstlg-emb_gildan_18000
sweatshirt,e05a3c6a-d034-4c27-85fb-b3394936d7bb,52880883286356,Maroon, S,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_s_gco_maroon_gpr_chstlg-emb_gildan_18000
sweatshirt,7897196f-2786-481e-8992-a95085ac5295,52880883319124,Maroon, M,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_m_gco_maroon_gpr_chstlg-emb_gildan_18000
sweatshirt,46ab4b22-08df-4275-9db1-fb06ec222062,52880883351892,Maroon, L,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_l_gco_maroon_gpr_chstlg-emb_gildan_18000
sweatshirt,5b88422d-de84-4877-a86d-125e7dc0b750,52880883384660,Maroon, XL,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_xl_gco_maroon_gpr_chstlg-emb_gildan_18000
sweatshirt,0ff74daf-e6f4-431f-9946-3bd9bb1df200,52880883417428,Maroon, 2XL,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_2xl_gco_maroon_gpr_chstlg-emb_gildan_18000
sweatshirt,3816f73e-fc37-4d8e-bac3-4e8ad19997ce,52880883450196,Maroon, 3XL,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_3xl_gco_maroon_gpr_chstlg-emb_gildan_18000
sweatshirt,885fa716-29a2-48f1-af37-f29786164a85,52880883482964,Dark Chocolate, S,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_s_gco_dark-chocolate_gpr_chstlg-emb_gildan_18000
sweatshirt,2ca1a61b-70a7-4b64-8031-52386796ea91,52880883515732,Dark Chocolate, M,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_m_gco_dark-chocolate_gpr_chstlg-emb_gildan_18000
sweatshirt,de4b984d-7070-479c-ae57-79e8cc07a551,52880883548500,Dark Chocolate, L,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_l_gco_dark-chocolate_gpr_chstlg-emb_gildan_18000
sweatshirt,52b20cae-a941-4851-a0ef-a706401564d5,52880883581268,Dark Chocolate, XL,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_xl_gco_dark-chocolate_gpr_chstlg-emb_gildan_18000
sweatshirt,0a76155b-f318-4576-8505-1663088ba6ba,52880883614036,Dark Chocolate, 2XL,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_2xl_gco_dark-chocolate_gpr_chstlg-emb_gildan_18000
sweatshirt,472e1c0d-542d-474e-8d44-bf4b4ccdf534,52880883646804,Dark Chocolate, 3XL,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_3xl_gco_dark-chocolate_gpr_chstlg-emb_gildan_18000
sweatshirt,dd733832-591d-4fff-ad7b-a17d06e5a68b,52880883679572,Navy, S,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_s_gco_navy_gpr_chstlg-emb_gildan_18000
sweatshirt,b9f8b9cf-73dd-40ef-8dec-b67ba59e5bf6,52880883712340,Navy, M,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_m_gco_navy_gpr_chstlg-emb_gildan_18000
sweatshirt,92102db9-3f5e-43b8-92b8-a872894cf292,52880883745108,Navy, L,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_l_gco_navy_gpr_chstlg-emb_gildan_18000
sweatshirt,42801a73-989d-45da-bfd5-6490287696cc,52880883777876,Navy, XL,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_xl_gco_navy_gpr_chstlg-emb_gildan_18000
sweatshirt,877bdfaf-a2c6-4656-8b8a-283241b7480b,52880883810644,Navy, 2XL,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_2xl_gco_navy_gpr_chstlg-emb_gildan_18000
sweatshirt,d910c59a-df79-4521-9eb2-4e331bf9a6f4,52880883843412,Navy, 3XL,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_3xl_gco_navy_gpr_chstlg-emb_gildan_18000
sweatshirt,fa71a555-9bf5-4611-82ec-254e823918a2,52880883876180,Black, S,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_s_gco_black_gpr_chstlg-emb_gildan_18000
sweatshirt,e80f1557-2cc5-443f-930f-83261066fadd,52880883908948,Black, M,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_m_gco_black_gpr_chstlg-emb_gildan_18000
sweatshirt,5b8f654b-eda8-4e78-b8cb-df5615b72d8a,52880883941716,Black, L,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_l_gco_black_gpr_chstlg-emb_gildan_18000
sweatshirt,c62f9ce1-fc09-43ac-aeae-679380020fcd,52880883974484,Black, XL,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_xl_gco_black_gpr_chstlg-emb_gildan_18000
sweatshirt,43b33f2e-2258-43d0-8442-dc465b98aabf,52880884007252,Black, 2XL,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_2xl_gco_black_gpr_chstlg-emb_gildan_18000
sweatshirt,b7ffcbf2-3d5e-43a2-ba1a-43f1617f87ee,52880884040020,Black, 3XL,Embroidery,apparel_product_gca_sweatshirt_gsc_crewneck_gcu_unisex_gqa_classic_gsi_3xl_gco_black_gpr_chstlg-emb_gildan_18000
